id,category,name_en,name_fr,description_en,description_fr,image,source_section
Desc_Stone_C,ore,Limestone,Calcaire,Used for crafting.<br />A basic resource primarily used for stable Foundations.,Matériau de fabrication.<br />Une ressource de base principalement utilisée pour des fondations stables.,https://static.satisfactory-calculator.com/img/gameStable1.0/Stone_256.png?v=1725286506,itemsData
Desc_OreIron_C,ore,Iron Ore,Minerai de fer,Used for crafting.<br />The most essential basic resource.,Matériau de fabrication.<br />La ressource de base la plus essentielle.,https://static.satisfactory-calculator.com/img/gameStable1.0/IconDesc_iron_new_256.png?v=1725286507,itemsData
Desc_OreCopper_C,ore,Copper Ore,Minerai de cuivre,Used for crafting.<br />A basic resource primarily used for electricity.,Matériau de fabrication.<br />Une ressource de base principalement utilisée pour l'électricité.,https://static.satisfactory-calculator.com/img/gameStable1.0/IconDesc_copper_new_256.png?v=1725286507,itemsData
Desc_OreGold_C,ore,Caterium Ore,Minerai de caterium,"Smelted into Caterium Ingots, which are primarily used for advanced electronics.",Fondu en lingots de caterium principalement utilisés dans l'électronique de pointe.,https://static.satisfactory-calculator.com/img/gameStable1.0/IconDesc_CateriumOre_256.png?v=1725286507,itemsData
Desc_Coal_C,ore,Coal,Charbon,"Mainly used as fuel for vehicles & Coal-Powered Generators, or in Steel production.","Principalement utilisé comme combustible pour les véhicules et les générateurs à charbon, ou pour la production d'acier.",https://static.satisfactory-calculator.com/img/gameStable1.0/IconDesc_CoalOre_256.png?v=1725286506,itemsData
Desc_RawQuartz_C,ore,Raw Quartz,Quartz brut,"Can be processed into Quartz Crystals and Silica, which both offer a variety of applications.","Peut être transformé en cristaux de quartz et en silice, qui offrent tous deux une multitude d'applications.",https://static.satisfactory-calculator.com/img/gameStable1.0/IconDesc_QuartzCrystal_256.png?v=1725286510,itemsData
Desc_Sulfur_C,ore,Sulfur,Soufre,Primarily used to produce Black Powder.,Principalement utilisé pour produire de la poudre noire.,https://static.satisfactory-calculator.com/img/gameStable1.0/Sulfur_256.png?v=1725286506,itemsData
Desc_OreBauxite_C,ore,Bauxite,Bauxite,"Used to produce Alumina, which can be further refined into the Aluminum Scrap required to produce Aluminum Ingots.","Sert à produire de l'alumine, qui peut être raffinée davantage en rebuts d'aluminium nécessaires à la production de lingots d'aluminium.",https://static.satisfactory-calculator.com/img/gameStable1.0/IconDesc_Bauxite_256.png?v=1725286507,itemsData
Desc_SAM_C,ore,SAM,É.M.E.,"Strange Alien Matter, commonly referred to as SAM, doesn't seem to follow the known laws of physics. It whispers of new possibilities.","L'étrange matière extraterrestre, communément appelée É.M.E., ne semble pas répondre aux lois connues de la physique. Elle suggère de nouvelles perspectives.",https://static.satisfactory-calculator.com/img/gameStable1.0/IconDesc_SameOre_256.png?v=1725286506,itemsData
Desc_OreUranium_C,ore,Uranium,Uranium,A radioactive element.<br />Used to produce Encased Uranium Cells for Uranium Fuel Rods.<br /><br />Caution: Moderately Radioactive.,Un élément radioactif.<br />Utilisé pour produire des cellules d'uranium encastrées pour les barres d'uranium.<br /><br />Attention : produit modérément radioactif.,https://static.satisfactory-calculator.com/img/gameStable1.0/IconDesc_UraniumOre_256.png?v=1725286506,itemsData
Desc_IronIngot_C,ingot,Iron Ingot,Lingot de fer,Used for crafting the most basic parts.,Utilisé pour fabriquer les pièces les plus basiques.,https://static.satisfactory-calculator.com/img/gameStable1.0/IconDesc_IronIngot_256.png?v=1725286517,itemsData
Desc_CopperIngot_C,ingot,Copper Ingot,Lingot de cuivre,Used for crafting the most basic parts.,Utilisé pour fabriquer les pièces les plus basiques.,https://static.satisfactory-calculator.com/img/gameStable1.0/IconDesc_CopperIngot_256.png?v=1725286515,itemsData
